Title,web_url,published_date,topic,abstract,context
"Didi Buys 99 Taxis, Igniting Fight With Uber in Latin America",https://www.bloomberg.com/news/articles/2018-01-03/didi-buys-99-taxis-igniting-fight-with-uber-in-latin-america,"January 3, 2018, 4:04 PM EST",technology,,"Didi Chuxing is buying Brazilian ride-hailing company 99 Taxis, placing Didi in direct competition with Uber Technologies Inc. in one of the U.S. company's busiest international markets.Didi, which led a $100 million investment in 99 Taxis a year ago, announced the acquisition on Wednesday. ??Globalization is a top strategic priority for DiDi,"" Cheng Wei, the Chinese ride-hailing company's chief executive officer, said in a statement.Didi didn't disclose terms of the cash deal. Technology news site The Information had previously reported about talks between the two companies.The deal is a sign that the exploding ride-hailing industry may become dominated by global companies, rather than local monopolies. It also shows that Didi wants to lead consolidation and is prepared to spar with Uber even though they will soon share SoftBank Group Corp. as a major shareholder.After Uber sold its Chinese business to Didi in exchange for about a 17.5 percent stake in the Chinese company in August 2016, it looked like the era of fierce competition and massive losses might end. Together Didi and Uber had spent heavily on driver subsidies in China, burning cash to fight for market share. Their deal -- and another between Uber and Yandex NV in Russia in 2017 -- signaled that consolidation might allow for single regional leaders.Uber's recent deal with SoftBank, already a big backer of Didi, had raised questions about whether Uber might strike truces with other SoftBank-backed companies like Ola in India or Grab in Southeast Asia.Now, Didi -- which faces competition at home from Meituan -- is eyeing one of the international markets where Uber has faced the least competition. Sao Paulo and?Rio de Janeiro are Uber's top two busiest cities in the world as ranked by the number of trips that take place there.""The investment marks a significant next step of DiDi's global strategy,"" the company said in a statement. ""DiDi has entered partnerships with seven major international players, in a network that serves over 1,000 cities and reaches over 60% of world population."""
Boeing Gets $6.6 Billion From Pentagon to Expand Missile Defense,https://www.bloomberg.com/news/articles/2018-01-31/boeing-gets-6-6-billion-from-pentagon-to-expand-missile-defense,"January 31, 2018, 5:01 PM EST",politics,"""Missile Defense Agency extends Boeing management by six years"", ""Contract calls for buying 20 more Orbital ATK interceptors""","Boeing Co. has received a $6.56 billion contract to continue managing the U.S. missile defense system intended to stop North Korean or Iranian intercontinental ballistic missiles, the Defense Department said.The sole-source contract announced Wednesday extends Boeing's management role for six more years, through 2023, and brings its total contract to $12.6 billion. It includes overseeing the addition of 20 ground-based interceptors to the 44 already stationed in California and Alaska.North Korean leader Kim Jong Un has vowed to perfect a nuclear warhead and a missile that could hit the U.S. mainland, adding to the urgency of U.S. missile defense efforts. In his State of the Union address on Tuesday, President Donald Trump said, ??North Korea's reckless pursuit of nuclear missiles could very soon threaten our homeland. We are waging a campaign of maximum pressure to prevent that from ever happening.??Boeing oversees development and support of the network of interceptors, sensors and communications links, sharing funding with subcontractors: Orbital ATK Inc. builds the rocket booster, Raytheon Co. makes the hit-to-kill warhead, Northrop Grumman Corp. provides the battle management system and Aerojet Rocketdyne Holdings Inc. makes the warhead's in-flight guidance system.The Pentagon released an initial $213.8 million Wednesday as a modification to Boeing's current $6.14 billion management, development and sustainment contract, which expires this year.As the Missile Defense Agency's prime contractor, Boeing will manage the accelerated construction of a new 20-missile field at Fort Greely, Alaska, plus the additional interceptors. Boeing also will oversee development and integration of an upgraded warhead known as the ??Redesigned Kill Vehicle.??Confidence in the $36 billion missile defense system was bolstered last week by a new assessment from the Pentagon's operational testing director based on the successful interception in May of a dummy warhead. The system ??demonstrated the capability to defend the U.S. homeland from a small number?? of ICBMs launched ??with simple countermeasures when the?? U.S. employs ??its full sensors/command and control architecture,?? Robert Behler said in a report to top Pentagon officials.Laura Grego, senior scientist for the Global Security Program of the Union of Concerned Scientists, questioned even that carefully hedged formulation. The system has destroyed ??its target fewer than half the 17 times it has been tested, and its record is not improving over time. Since the 2004 deployment decision, the system has a three-for-nine record,?? including the test in May, she said in an email.On Tuesday, General Paul Selva, vice chairman of the Joint Chiefs of Staff, told reporters that North Korea's capabilities aren't yet as advanced as Kim purports.North Korea has yet to demonstrate essential capabilities for an ICBM that could hit the U.S. mainland, including maneuvering in space, an adequate guidance system and housing that could protect a nuclear warhead from burning up on re-entry.The capability gap provides ??an opening to have?? a conversation with North Korea about a possible missile test freeze, Selva said.While North Korea's nuclear weapons program is the most advanced threat, Trump has vowed to seek new sanctions on Iran for its continued development of ballistic missiles. Iran maintains it has no intention to develop nuclear weapons, and its nuclear program is constrained by its 2015 deal with the U.S. and other world powers."
South Africa December Trade Surplus Climbs to Record as Imports Drop,https://www.bloomberg.com/news/articles/2018-01-31/south-africa-december-trade-surplus-at-record-as-imports-drop,"January 31, 2018, 7:20 AM EST",technology,"""Longest streak of positive trade balances since 1999"", ""Imports of equipment, machinery and chemical products fall""","South Africa recorded its biggest trade surplus in least 27 years in December as imports of equipment components, electronics and chemical products dropped.The 15.7 billion-rand surplus ($1.3 billion) compares with November's 13.1 billion-rand positive balance, the Pretoria-based South African Revenue Service said in an emailed statement Wednesday. It's the 11th straight month of surpluses, the longest such streak since 1999.Positive trade balances have eased pressure on the current account, the broadest measure of trade in goods and services, boosting the rand. The currency has also rallied since December, when the ruling African National Congress elected Cyril Ramaphosa to lead the party. It strengthened to below 12 per dollar for the first time since May 2015 last week as the domestic political outlook improved.Here are some highlights from the statement:The rand strengthened 0.9 percent to 11.8556 per dollar by 2:12 p.m. in Johannesburg on Wednesday. The yield on rand-denominated government bonds due December 2026 fell 7 basis points to 8.48 percent.The monthly trade figures are often volatile, reflecting the timing of shipments of commodities such as oil and diamonds.?? With assistance by Ana Monteiro, and Simbarashe Gumbo"
The Search for Flight MH370 Is About to Resume,https://www.bloomberg.com/news/articles/2018-01-05/hunt-for-mh370-poised-to-resume-as-vessel-heads-for-search-zone,"January 4, 2018, 8:45 PM EST",technology,"""Ocean Infinity hopes to win search contract in coming days"", ""Malaysia Airlines flight remains aviation's biggest mystery""","The search for Malaysia Airlines Flight 370, modern aviation's biggest mystery, is set to resume after a U.S. exploration company sent a vessel to the search zone and said it hopes to win a contract within days.The Boeing Co. 777 aircraft disappeared on March 8, 2014, on its way to Beijing from Kuala Lumpur with 239 people on board.To take advantage of summer weather, Ocean Infinity has sent the ship, Seabed Constructor, to the possible search area while it waits for a formal contract, it said in a statement. The company will undertake the search on a ??no-find, no-fee basis,?? and the Malaysian government is expected to make an announcement on the contract next week, the Australian newspaper reported.Investigators believe MH370 headed south over the Indian Ocean for about six hours before plummeting into the water. A few fragments of the jet turned up?on Africa's eastern seaboard but no bodies have ever been recovered. In a final report on the search last year, authorities identified about 25,000 square kilometers of remote waters west of Australia as the wreck's most likely resting place.The 115-meter Seabed Constructor is en route to Perth from Durban, South Africa, and is due to arrive on Feb. 7, according to vessel data compiled by Bloomberg."
FIFA World Cup Signs on China Dairy Producer Mengniu as Sponsor,https://www.bloomberg.com/news/articles/2017-12-20/fifa-world-cup-signs-on-china-dairy-producer-mengniu-as-sponsor,"December 20, 2017, 12:55 AM EST",business,"""World's most popular sports event gets fourth Chinese sponsor"", ""Deal comes as FIFA works to shake off bribery scandal image""","FIFA has signed up China's second-largest dairy company as a sponsor for the 2018 Russia World Cup, the fourth such backer from the country as international soccer's governing body works to overcome the tarnish from a bribery scandal.China Mengniu Dairy Co. will become a second-tier sponsor, earning the right to broadcast a seven-minute commercial during each of the 64 World Cup matches in 2018, the Inner Mongolia-based company told reporters Wednesday in Beijing. The company joins Chinese conglomerate Dalian Wanda Group Co., consumer electronics maker Hisense Group Corp. and smartphone maker Vivo as sponsors.Mengniu's emergence as another FIFA backer from China is prompting some speculation the world's most populous country may campaign to host a tournament.The shift in global sponsorship deals is ??a sign of China just beginning to flex a little more financial muscle within FIFA with half an eye on the 2030 FIFA World Cup hosting rights,?? said Jon Tibbs, a sports-brand and communications specialist and chairman of JTA.Backers have signed on more slowly for the 2018 competition than for previous tournaments amid fallout from the 2015 corruption scandal involving FIFA, which controls media and marketing rights and decides where the potentially lucrative tournaments will be held. Prosecutors have said soccer officials took almost $200 million in bribes from sports-marketing executives in the Americas seeking media and marketing rights to tournaments. The scandal unseated top leaders at FIFA and cast a shadow over the World Cup.??The 2018 event still needs two more sponsors,???FIFA Chief Commercial Officer Philippe le Floc'h said in an interview. ??We have one in the pipeline, which is not a Chinese company. For the other one, we have various options.??Read more: a QuickTake on FIFA's struggles amid corruption casesFor Mengniu, which derives most of its sales from China but is seeking to expand more aggressively overseas,?the commercials it can run during the 2018 World Cup give it exposure to the world's 2.7 billion soccer fans.??This is a very important step for Mengniu to become global, and to rebuild the world's confidence for China's dairy industry,?? Lu Minfang, the milk company's chief executive officer, told reporters. Chinese dairy companies were roiled a decade ago by a scandal that poisoned thousands of children.?? With assistance by Jing Yang De Morel, David Hellier, and Rachel Chang"
"Google Makes Another Chinese Investment, In Games Streaming",https://www.bloomberg.com/news/articles/2018-01-05/google-makes-second-chinese-investment-in-videogames-streaming,"January 5, 2018, 12:01 AM EST",technology,"""It joined a funding round for mobile-centric service Chushou"", ""The investment came after Google lost out to Amazon for Twitch""","Alphabet Inc.'s Google has?joined a funding round for a Chinese games-streaming service, making its second direct investment there since largely withdrawing from the country in 2010.The Mountain View, California company?is joining a Series D investment round for Chushou, whose name translates into ??Tentacle,?? a Chinese mobile-centric game live-streaming platform with 90 million registered users. Existing backers including Qiming Venture, Shunwei Capital and Alpha X Capital also joined the round, Chushou said in a statement that Google provided.Google's investment in Chushou comes after it lost out to Amazon.com Inc., which bought?Twitch for $970 million in 2014. Since then, it's attempted to launch live-streaming services for gamers via YouTube.?Live-streaming of games has attracted the attention of technology giants, with Alibaba Group Holding Ltd. and Tencent Holdings Ltd. pushing into the sector.?The Chinese market alone is expected to generate 3 billion yuan ($462 million) of revenue and attract 140 million users this year, according to IResearch, as users track the online exploits of gamers within PlayerUnknown's Battlegrounds or League of Legends. Chushou also competes with Huya, DouYu -- or ??Fighting Fish?? -- and Panda TV for dominance of game-streaming.Google has been re-building its presence in China, where it defied the government in 2010 by refusing to self-censor search content and later had most of its services blocked. Chushou is only Google's second direct investment since, after a 2015 decision to back local AI startup Mobvoi. The U.S. giant has been ramping up hiring and promotion of its TensorFlow AI tools, features Chief Executive Officer Sundar Pichai highlighted when he visited the country last year. It launched a Beijing-based AI research center in December.With its latest deal, Google's getting into an industry that's subject to persistent and aggressive Chinese censorship. Beijing has launched periodic crackdowns on video streaming sites, aiming to root out everything from portrayals of violence to game addiction. Some of Chushou's most popular streams feature PlayerUnknown's Battlegrounds, a gore-splattered title in which players duel to the death.The latest cash injection brings Chushou's total funding to $120 million and will help it expand services around the world. Like Twitch, it offers viewers the chance to watch gamers hack and slash their way through over 1,000 titles. Since launching in August 2015, the platform has garnered 8 million unique streamers with an average of 250,000 live streamers active on the site each day -- most of whom are viewed via smartphones.??Chushou has built an impressive platform, with a dedicated and quickly growing base of content creators and consumers, and smart expansion plans,?? said Frank Lin, Google's principal, corporate development for North Asia.For more on gaming investments, check out the Decrypted podcast:?? With assistance by David Ramli, and Mark Bergen"
United Airlines PR Boss to Step Down After Tumultuous Tenure,https://www.bloomberg.com/news/articles/2017-12-07/united-airlines-pr-boss-to-step-down-after-tumultuous-tenure,"December 7, 2017, 5:59 PM EST",technology,"""Jim Olson tells colleagues he will pursue other opportunities"", ""Company faced dragging scandal, activist unrest during term""","United Continental Holdings Inc.'s top communications executive is stepping down after leading the airline's public-relations strategy through?a tumultuous two-year tenure and worldwide scandal this April.Jim Olson, senior vice president of corporate communications,?will resign effective Jan. 8 to pursue other opportunities, he said in a letter to employees. The decision was his own and he wasn't asked to leave, Megan McCarthy, a?United spokeswoman, said Thursday. The airline is searching for his replacement.Olson is leaving after a chaotic period that included a corporate turnaround effort, a battle with activist investors and a media firestorm when a passenger was dragged off a United Express flight in Chicago.When Olson arrived, United still was recovering from a scandal in which its chief executive officer was ousted for his role in flights scheduled to benefit a New York-area airport official. The new boss, current CEO Oscar Munoz, suffered a heart attack just a month after taking the job and underwent a heart transplant three months later. Soon after Munoz returned, the airline became embroiled in a proxy fight with two hedge funds, which ultimately redrew United's board.This April, passenger David Dao was dragged from a plane by Chicago airport officials after he refused to give up his seat to make room for a crew member.?United's initial comments, such as Munoz's apology for having?to ??re-accommodate?? the passenger, sparked worldwide condemnation in the press and on social media.United absorbed another blow on Oct. 19, when it reported earnings. The shares dropped the most in eight years after Munoz and President Scott Kirby couldn't answer analysts' questions about United's growth and cost projections for next year.Olson joined United from Starbucks Corp. and earlier worked in communications for US Airways and Nissan North America. While at US Airways, he managed the airline's response to Flight 1549, which landed on the Hudson River off Manhattan in 2009, according to United's website.United has been stuck behind Delta Air Lines Inc. and American Airlines Group Inc. in terms of profit margin. Its stock is down 13 percent this year, compared with a 6.5 percent gain for a Standard & Poor's index of major U.S. carriers."
Mark Zuckerberg Says Facebook to Look Into Cryptocurrency,https://www.bloomberg.com/news/articles/2018-01-04/mark-zuckerberg-says-facebook-to-look-into-cryptocurrency,"January 4, 2018, 3:17 PM EST",technology,,"Facebook Inc. Chief Executive Officer Mark Zuckerberg gave cryptocurrency enthusiasts a little optimism for the new year.Zuckerberg referenced cryptocurrencies in a posting Thursday in which he laid out how he will spend 2018 trying to correct persistent problems -?? including the proliferation of hate speech and misinformation -?? that have dogged his wildly popular social network for the past two years.??There are important counter-trends to this -- encryption and cryptocurrency -- that take power from centralized systems and put it back into people's hands,?? Zuckerberg wrote. ??But they come with the risk of being harder to control. I'm interested to go deeper and study the positive and negative aspects of these technologies, and how best to use them in our services.??Zuckerberg isn't the only Facebook executive expressing interest in the space. David Marcus, the company's vice president of messaging products, joined the board of Coinbase Inc., one of the largest crypto exchanges, late last year.???I've been involved with, and fascinated by cryptocurrencies since 2012, and I've witnessed how Coinbase has started democratizing access to this new asset class,?? Marcus said on Coinbase's blog Dec. 12.What all this may mean for the digital currency world remains to be seen."
Line Plans Expansion Into Crypto Trading and Insurance,https://www.bloomberg.com/news/articles/2018-01-30/line-is-said-to-plan-expansion-into-crypto-trading-and-insurance,"January 30, 2018, 3:00 PM EST",technology,"""Japan's biggest messenger creates a financial holdings company"", ""Line applied for cryptocurrency exchange license in Japan""","Line Corp., Japan's biggest messaging service, is expanding into?cryptocurrency?trading, insurance and other financial services, according to people familiar with the matter.The company established a financial holdings firm and plans to launch the offerings in its main Asian markets and beyond pending regulatory approval, the people said, asking not to be named because the information is private. Line has already applied for a license to open a cryptocurrency exchange in Japan and is planning to expand to Hong Kong and Luxembourg.Since Line's listing in July 2016, the company has scaled back its global ambitions to focus on markets where it already has top share -- Japan, Taiwan, Thailand and Indonesia. Faced with a stagnant user base, Chief Executive Officer Takeshi Idezawa has set out to transform the messaging app into an all-in-one communications and entertainment service over the next five years. He has centered it on video and everyday services powered by artificial intelligence. Adding financial offerings may help reduce the company's reliance on advertising revenue and offer a way to gain subscribers in countries dominated by Facebook?Inc.'s Messenger and WhatsApp.The services may be offered under Line's own name or as a stand-alone?brand, the people said. The insurance business will focus on resale, centered?initially on the Japanese market where commissions are high. Line is also considering applications of blockchain technology?in countries with underdeveloped financial infrastructure to enable services such as the such as the ability to pay utility bills via mobile phone.The company is stepping up hiring of specialists in financial technology and blockchain around the world, according to the people. It has received hundreds of applications, they said.Line has been offering a smartphone wallet service since 2014. Line Pay has 40 million registered users worldwide. Transaction volume jumped to 300 billion yen ($2.7 billion) last year to November, as users in Taiwan turned to the service to pay their taxes."
Online Retailer JD Follows Alibaba Into the Supermarket Game,https://www.bloomberg.com/news/articles/2018-01-04/online-retailer-jd-follows-alibaba-into-the-supermarket-game,"January 3, 2018, 8:54 PM EST",technology,"""The Chinese e-commerce giant opened 7Fresh store this week"", ""Web retailers are taking their battle into the physical world""","JD.com Inc. has opened the first of a chain of high-tech supermarkets in Beijing, following arch-foe Alibaba Group Holding Ltd. into the world of physical retail.The envisioned chain of ??7Fresh?? stores represent its biggest foray into traditional retail, and like Alibaba it's counting on reaching new customers and securing valuable data by connecting online and off-line shopping. JD's new stores and Alibaba's Hema chain both allow shoppers to use a mobile app and digital payments to complement their browsing.JD, Wal-Mart Stores Inc.'s partner in China, is counting on control of its supply chain and long experience sourcing its own inventory to compete with Alibaba, which mostly acts as a platform for other merchants. The new store in Beijing's Yizhuang neighborhood offers features such as screens that display info on items that shoppers pick up, and robot carts that follow customers as they browse the aisles. Like Hema, it also offers a restaurant and imported fresh food that cater to middle-class tastes.??JD is uniquely positioned to bring this premium-quality offline shopping experience to Chinese consumers because of our supply chain technology and scale as the country's largest retailer,?? said Wang Xiaosong, chief executive officer of 7Fresh.From Alibaba to Tencent Holdings Ltd., China's largest internet companies are bent on transforming retail by infusing stores with technology to better manage inventory and customer data. Wal-Mart and JD for instance hope to combine their network of warehouses and cold storage to shorten delivery to customers.The robot carts.The over-arching idea is to connect virtual and offline worlds, boosting online orders while amassing valuable customer purchasing data. They're betting that a move into physical commerce will pump-prime its main online business, rope in millions of new shoppers, and expand its network into a relatively untapped Chinese hinterland.Alibaba will open 30 Hema supermarkets in Beijing this year, China Daily reported Thursday.Read more: Alibaba Bets $2.9 Billion It Can Take on Wal-Mart in ChinaJD also this week opened the first of an eventual chain of ??unmanned?? or fully automated convenience stores, in Shandong province. But 7Fresh represents a fuller retail experience and daily transactions at its maiden outlet have exceeded 10,000 in the first two days of operation, Chief Executive Officer Richard Liu said in a social media post.?? With assistance by David Ramli"
